,type,year,party,vague_score,decade,subj_score,emot_score
832,PMQs,1989-05-16,CON,0.1757664799629293,1980,0.10332947085112407,0.1665802783886493
833,PMQs,1989-05-18,CON,0.1740333966040363,1980,0.10069487749921176,0.1656536009141406
834,PMQs,1989-05-23,CON,0.17574287040999118,1980,0.09414712381127921,0.16459609918321794
835,PMQs,1989-05-25,CON,0.17446562542896293,1980,0.08872424840775159,0.16825731303076874
836,PMQs,1989-06-06,CON,0.17628402151014694,1980,0.1035386825917313,0.17145126441725633
837,PMQs,1989-06-08,CON,0.1769236922162044,1980,0.0973930522147509,0.16597773897261006
838,PMQs,1989-06-13,CON,0.1754197533327858,1980,0.10015085080956247,0.16248207758936192
839,PMQs,1989-06-15,CON,0.17713300617427302,1980,0.08275547975340737,0.16328822929262832
840,PMQs,1989-06-20,CON,0.17603766699434514,1980,0.09988985411117413,0.16416045643388089
841,PMQs,1989-06-22,CON,0.1765839128346075,1980,0.09848598989604745,0.16992945736280599
842,PMQs,1989-06-29,CON,0.1759453440253479,1980,0.09240121594095634,0.16174007471839327
843,PMQs,1989-07-04,CON,0.17517501539946323,1980,0.09922095397537821,0.1635137571194106
844,PMQs,1989-07-06,CON,0.176297150330606,1980,0.09711316499452714,0.16810241463045725
845,PMQs,1989-07-11,CON,0.17675575062064985,1980,0.09254512361437503,0.16565284934584373
846,PMQs,1989-07-18,CON,0.17594302533072848,1980,0.0921605253012684,0.16518468779493117
847,PMQs,1989-07-20,CON,0.17783899445206358,1980,0.10398342927514548,0.1668107399451373
848,PMQs,1989-07-25,CON,0.17553284548181447,1980,0.09484756674484919,0.16630757220152656
849,PMQs,1989-07-27,CON,0.17646030433829513,1980,0.07820231548043667,0.16377498821911185
850,PMQs,1989-10-26,CON,0.17881236844870932,1980,0.08779756089516988,0.16090734137126247
851,PMQs,1989-10-31,CON,0.17596923576637652,1980,0.08268025201890576,0.16077252103922846
852,PMQs,1989-11-07,CON,0.17628986757829584,1980,0.09491064256839538,0.1664887582312482
853,PMQs,1989-11-09,CON,0.17689955213500866,1980,0.0885148974262571,0.16614204579885966
854,PMQs,1989-11-14,CON,0.17468167216409,1980,0.10580979210014882,0.16777529936038288
855,PMQs,1989-11-28,CON,0.1769556205389624,1980,0.0895762894773605,0.1663540497294037
856,PMQs,1989-11-30,CON,0.1761910179533805,1980,0.09930844471694035,0.16604979894369387
857,PMQs,1989-12-05,CON,0.1758442766126602,1980,0.0904626367728254,0.16920328884047658
858,PMQs,1989-12-07,CON,0.17698975249088736,1980,0.09084574616689023,0.16441402540964728
859,PMQs,1989-12-12,CON,0.17747291179111752,1980,0.09381327323718741,0.16738512965735475
860,PMQs,1989-12-14,CON,0.1760948607720828,1980,0.09466176577723387,0.16440047121506368
861,PMQs,1989-12-19,CON,0.17552128464435102,1980,0.10489000392010704,0.16805379856482786
862,PMQs,1990-01-09,CON,0.17569965291403467,1990,0.09086387003479261,0.1645272845164365
863,PMQs,1990-01-11,CON,0.17461077279534812,1990,0.10460907165980281,0.1584498931621459
864,PMQs,1990-01-16,CON,0.17607902812333684,1990,0.08785487461422416,0.16334881409394122
865,PMQs,1990-01-18,CON,0.1747135180555711,1990,0.0946842934857564,0.16144371523122222
866,PMQs,1990-01-23,CON,0.17599976177842747,1990,0.094476484594289,0.16365559321967732
867,PMQs,1990-02-13,CON,0.17721026234324597,1990,0.0953295168382893,0.16457564073648762
868,PMQs,1990-02-15,CON,0.17708694601930006,1990,0.0924594746011075,0.16519404702504917
869,PMQs,1990-02-20,CON,0.17691829469538,1990,0.09420224979781619,0.15906702929014385
870,PMQs,1990-02-22,CON,0.17686239408220603,1990,0.09168316318506368,0.1626920955149797
871,PMQs,1990-02-27,CON,0.17589264695105525,1990,0.09282626313436312,0.1645146161550587
872,PMQs,1990-03-06,CON,0.17605630335604816,1990,0.09221601035510814,0.16278921098219207
873,PMQs,1990-03-08,CON,0.17509940511364536,1990,0.09991746156526243,0.1622379190775657
